side,component,file,function,nloc,ccn,tokens,params,start,end
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::HttpArTransportHandler,4,1,22,2,33,36
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::start,12,1,117,1,39,51
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::readBody,3,1,28,1,53,55
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::parseForm,11,5,111,1,57,69
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::handleHealth,4,2,57,1,71,74
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::handleCapabilities,21,2,76,1,76,96
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::handleToken,32,8,224,1,98,131
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::handleDelegation,13,5,134,1,133,147
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::handlePolicies,56,13,499,1,149,208
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::extractBearerOrRespond,8,3,76,1,211,219
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::isGet,3,1,17,1,221,223
SOP,AR transport handler,HttpArTransportHandler.java,HttpArTransportHandler::isMethod,7,2,45,2,225,231
SOP,Consumer EDC gateway,HttpConsumerEdcGateway.java,HttpConsumerEdcGateway::HttpConsumerEdcGateway,5,1,31,3,27,31
SOP,Consumer EDC gateway,HttpConsumerEdcGateway.java,HttpConsumerEdcGateway::ping,3,1,14,0,34,36
SOP,Consumer EDC gateway,HttpConsumerEdcGateway.java,HttpConsumerEdcGateway::requestCatalog,12,1,63,2,39,50
SOP,Consumer EDC gateway,HttpConsumerEdcGateway.java,HttpConsumerEdcGateway::startNegotiation,20,1,112,4,53,72
SOP,Consumer EDC gateway,HttpConsumerEdcGateway.java,HttpConsumerEdcGateway::pollNegotiation,6,2,76,1,75,80
SOP,Consumer EDC gateway,HttpConsumerEdcGateway.java,HttpConsumerEdcGateway::startTransfer,15,3,171,7,83,99
SOP,Consumer EDC gateway,HttpConsumerEdcGateway.java,HttpConsumerEdcGateway::pollTransfer,4,1,46,1,102,105
SOP,Consumer EDC gateway,HttpConsumerEdcGateway.java,HttpConsumerEdcGateway::extractOffer,17,8,156,1,107,126
SOP,Provider EDC gateway,HttpProviderEdcGateway.java,HttpProviderEdcGateway::HttpProviderEdcGateway,4,1,22,2,25,28
SOP,Provider EDC gateway,HttpProviderEdcGateway.java,HttpProviderEdcGateway::createAsset,20,1,130,4,31,50
SOP,Provider EDC gateway,HttpProviderEdcGateway.java,HttpProviderEdcGateway::createPolicy,13,1,102,1,53,65
SOP,Provider EDC gateway,HttpProviderEdcGateway.java,HttpProviderEdcGateway::createContractDefinition,12,1,98,2,68,79
